Joker,8.8,{"FRANCE 2"},30-11-2019 16:40
Nunca Estiveste Aqui,6.8,{"TVC 4"\,"TVC 4 HD"},26-11-2019 04:40
O Senhor Babadook,6.8,{"SIC RADICAL"},25-11-2019 23:49
Os Incorruptíveis Contra a Droga 2,6.8,{"FOX MOVIES"\,"FOX MOVIES HD"},29-11-2019 14:39
Para Além das Cinzas,6.8,{FOX\,"FOX HD"},23-11-2019 22:30 27-11-2019 23:05 30-11-2019 01:46
Quatro Irmãos,6.8,{"TVC 4"\,"TVC 4 HD"},24-11-2019 18:00 25-11-2019 07:40
Sem Saída,6.8,{"TVC 4"\,"TVC 4 HD"},24-11-2019 04:05 25-11-2019 21:30
The Grey - A Presa,6.8,{"HOLLYWOOD "\,"HOLLYWOOD HD"},23-11-2019 22:25
A Busca,6.7,{CINEMUNDO\,"CINEMUNDO HD"},30-11-2019 00:35
A Família Addams 2,6.7,{AMC\,"AMC HD"},24-11-2019 20:37 26-11-2019 16:50
A Indecente Mary e o Louco Larry,6.7,{"FOX MOVIES"\,"FOX MOVIES HD"},28-11-2019 19:41 29-11-2019 16:36
Anjos e Demónios,6.7,{AXN\,"AXN HD"},30-11-2019 00:04
Arma Mortífera 3,6.7,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 21:18 28-11-2019 10:39
A Testemunha,6.7,{AMC\,"AMC HD"},23-11-2019 18:21
A Vida Por Um Fio,6.7,{"RTP AÇORES"},26-11-2019 00:00 26-11-2019 07:55
Bem-vindos à Selva,6.7,{AXN\,"AXN HD"},24-11-2019 18:09
Coco Avant Chanel,6.7,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 11:05
Comando,6.7,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 01:00
Doce Novembro,6.7,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 07:41
Falsas Aparências,6.7,{AMC\,"AMC HD"},26-11-2019 23:51
Homenzinhos,6.7,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 14:31 26-11-2019 00:07
Imparável,6.7,{FOX\,"FOX HD"},24-11-2019 00:38 24-11-2019 19:09 27-11-2019 00:00 30-11-2019 13:28
Ingmar Bergman - A Vida E Obra Do Génio,6.7,{"TVC 2"},30-11-2019 06:45
Intermezzo,6.7,{MEZZO},23-11-2019 18:36 23-11-2019 22:15 24-11-2019 06:24 24-11-2019 10:30 24-11-2019 14:30 24-11-2019 18:08 25-11-2019 06:09 25-11-2019 10:45 25-11-2019 15:10 25-11-2019 18:02 25-11-2019 22:05 26-11-2019 06:34 26-11-2019 10:30 26-11-2019 14:46 26-11-2019 18:55 27-11-2019 06:28 27-11-2019 10:46 27-11-2019 14:48 27-11-2019 18:30 27-11-2019 21:22 28-11-2019 06:01 28-11-2019 10:54 28-11-2019 14:30 28-11-2019 18:54 29-11-2019 05:34 29-11-2019 11:26 29-11-2019 14:30 29-11-2019 18:01
John McEnroe: O Domínio da Perfeição,6.7,{"TVC 2"},29-11-2019 02:55 29-11-2019 14:55
Moulin Rouge,6.7,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 09:15
O Chef,6.7,{"AXN WHITE"\,"AXN WHITE HD"},27-11-2019 22:11 29-11-2019 15:55
O Cliente,6.7,{AMC\,"AMC HD"},30-11-2019 16:24
O Coro,6.7,{"TVC 3"\,"TVC 3 HD"},24-11-2019 11:55 27-11-2019 05:05
O Fugitivo,6.7,{EUROCHANNEL\,"EUROCHANNEL HD"},28-11-2019 22:35 30-11-2019 16:10
O Legado de Bourne,6.7,{AMC\,"AMC HD"},24-11-2019 23:56 25-11-2019 17:57 28-11-2019 13:53
O Quebra Corações,6.7,{"TVC 1"},28-11-2019 16:20
O Quebra Corações,6.7,{"TVC 2"},25-11-2019 16:00
Soldados da Fortuna,6.7,{FOX\,"FOX HD"},24-11-2019 22:39
The Equalizer 2 - A Vingança,6.7,{"TVC 1"},27-11-2019 01:55 27-11-2019 19:25
Wyatt Earp,6.7,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 21:10 27-11-2019 14:45
A Agente Vermelha,6.6,{"TVC 4"\,"TVC 4 HD"},27-11-2019 12:25 28-11-2019 05:50
À Deriva,6.6,{"TVC 1"},25-11-2019 19:50 26-11-2019 12:15
A Idade do Gelo 4: Deriva Continental,6.6,{FOX\,"FOX HD"},30-11-2019 11:53
Alice,6.6,{"RTP 2"},24-11-2019 00:20
Amor Perdido,6.6,{EUROCHANNEL\,"EUROCHANNEL HD"},25-11-2019 09:45
À Procura de Uma Estrela,6.6,{"HOLLYWOOD "\,"HOLLYWOOD HD"},30-11-2019 14:55
Arma Mortífera 4,6.6,{"FOX MOVIES"\,"FOX MOVIES HD"},28-11-2019 21:15 29-11-2019 10:39
Ases pelos Ares 2,6.6,{"TVC 4"\,"TVC 4 HD"},23-11-2019 17:55 24-11-2019 10:40
A Testemunha,6.6,{AMC\,"AMC HD"},23-11-2019 18:21
Austrália,6.6,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 17:05
Charlie e a Fábrica de Chocolate,6.6,{"TVC 3"\,"TVC 3 HD"},26-11-2019 18:35 27-11-2019 08:50
Focus,6.6,{"FRANCE 24 (F)"},23-11-2019 20:52 24-11-2019 16:52 25-11-2019 07:45 25-11-2019 13:15 25-11-2019 19:50 26-11-2019 07:45 26-11-2019 13:15 26-11-2019 19:50 27-11-2019 07:45 27-11-2019 13:15 27-11-2019 19:50 28-11-2019 07:45 28-11-2019 13:15 28-11-2019 19:50 29-11-2019 07:45 29-11-2019 13:15 29-11-2019 19:50 30-11-2019 06:21 30-11-2019 10:52
Focus,6.6,{"FRANCE 24 (F)"\,"FRANCE 24 (I)"},25-11-2019 06:51 25-11-2019 22:51 26-11-2019 06:51 26-11-2019 22:51 27-11-2019 06:51 27-11-2019 22:51 28-11-2019 06:51 28-11-2019 22:51 29-11-2019 06:51 29-11-2019 22:51
Focus,6.6,{"FRANCE 24 (I)"},25-11-2019 05:46 25-11-2019 08:51 25-11-2019 13:46 25-11-2019 19:51 26-11-2019 01:15 26-11-2019 05:46 26-11-2019 08:51 26-11-2019 13:46 26-11-2019 19:51 27-11-2019 01:15 27-11-2019 03:10 27-11-2019 05:46 27-11-2019 08:51 27-11-2019 13:46 27-11-2019 19:51 28-11-2019 01:15 28-11-2019 03:10 28-11-2019 05:46 28-11-2019 08:51 28-11-2019 13:46 28-11-2019 19:51 29-11-2019 01:15 29-11-2019 05:46 29-11-2019 08:51 29-11-2019 13:46 29-11-2019 19:51 30-11-2019 01:15
Focus,6.6,{"PHOENIX CNE"},25-11-2019 18:30 26-11-2019 09:00 26-11-2019 15:00 26-11-2019 18:30 27-11-2019 09:00 27-11-2019 15:00 27-11-2019 18:30 28-11-2019 09:00 28-11-2019 15:00 28-11-2019 18:30 29-11-2019 09:00 29-11-2019 15:00 29-11-2019 18:30 30-11-2019 09:00 30-11-2019 15:00
Focus,6.6,{"TRACE URBAN HD"},24-11-2019 13:00
Hora de Ponta 2,6.6,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 22:56 30-11-2019 13:54
In Memoriam,6.6,{CINEMUNDO\,"CINEMUNDO HD"},25-11-2019 14:00
Isto é o Fim!,6.6,{"AXN BLACK"\,"AXN BLACK HD"},26-11-2019 00:53 28-11-2019 12:47
Juliet\, Nua,6.6,{"TVC 3"\,"TVC 3 HD"},24-11-2019 10:15 27-11-2019 03:25
O Código Da Vinci,6.6,{AXN\,"AXN HD"},25-11-2019 03:20 27-11-2019 04:37 29-11-2019 21:30
Operação Overlord,6.6,{"TVC 4"\,"TVC 4 HD"},23-11-2019 19:25
O Primeiro Choro,6.6,{"TVC 2"},28-11-2019 16:10 29-11-2019 06:15
Os Mercenários 2,6.6,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 21:30
Primeiro Golpe,6.6,{"FOX MOVIES"\,"FOX MOVIES HD"},23-11-2019 21:15 24-11-2019 19:46
Ritmo e Sedução,6.6,{"FOX LIFE"\,"FOX LIFE HD"},23-11-2019 22:20 24-11-2019 20:13
Uma Escolha Por Amor,6.6,{"FOX LIFE"\,"FOX LIFE HD"},24-11-2019 00:44 24-11-2019 15:57
Um Encontro às Cegas,6.6,{"AXN WHITE"\,"AXN WHITE HD"},23-11-2019 23:45 24-11-2019 15:55 27-11-2019 14:24
X-Men Origens: Wolverine,6.6,{SYFY\,"SYFY HD"},27-11-2019 22:15
Zorro,6.6,{"FRANCE 3"},23-11-2019 19:30 24-11-2019 19:30
A Casa Junto ao Mar,6.5,{"TVC 1"},25-11-2019 00:55
A Casa Junto ao Mar,6.5,{"TVC 2"},25-11-2019 10:20
A Livraria,6.5,{"TVC 1"},23-11-2019 19:35 24-11-2019 07:55
Homefront: A Última Defesa,6.5,{AXN\,"AXN HD"},24-11-2019 01:55
Imperador,6.5,{"HOLLYWOOD "\,"HOLLYWOOD HD"},27-11-2019 18:00 30-11-2019 05:15
Ligações Selvagens,6.5,{CMTV},24-11-2019 02:30 30-11-2019 02:30
Mektoub\, Meu Amor: Canto Primeiro,6.5,{"TVC 2"},23-11-2019 18:55 24-11-2019 07:50
Mia e o Leão Branco,6.5,{"TVC 1"},24-11-2019 06:10
O Adeus às Armas,6.5,{"TVC 2"},25-11-2019 04:25 25-11-2019 19:25
Ocean's 12,6.5,{"AXN BLACK"\,"AXN BLACK HD"},29-11-2019 17:08
O Despertar da Lenda,6.5,{CINEMUNDO\,"CINEMUNDO HD"},27-11-2019 21:10 28-11-2019 12:10
Rambo II - A Vingança do Herói,6.5,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 02:27 30-11-2019 02:20
Uma Família Ideal,6.5,{"TVC 1"},26-11-2019 19:55 27-11-2019 11:25
Zig Zag,6.5,{"RTP 1"},24-11-2019 06:30 30-11-2019 06:30
Amanhecer Violento,6.4,{"FOX MOVIES"\,"FOX MOVIES HD"},29-11-2019 21:15
À Noite\, no Museu,6.4,{AXN\,"AXN HD"},24-11-2019 20:00
A Purga: Anarquia,6.4,{SYFY\,"SYFY HD"},23-11-2019 18:09
Assalto ao Metro 123,6.4,{AXN\,"AXN HD"},24-11-2019 00:01 26-11-2019 15:31
Burlesque,6.4,{EUROCHANNEL\,"EUROCHANNEL HD"},24-11-2019 03:30 24-11-2019 06:50 24-11-2019 20:45 25-11-2019 14:40 28-11-2019 15:30 29-11-2019 06:30 29-11-2019 22:50
Burlesque,6.4,{"TVC 3"\,"TVC 3 HD"},24-11-2019 22:30 27-11-2019 06:50
Cabaret Maxime,6.4,{"TVC 1"},28-11-2019 01:05
Cabaret Maxime,6.4,{"TVC 2"},28-11-2019 18:00
Chovem Almôndegas 2,6.4,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 22:00 26-11-2019 15:55 30-11-2019 00:01
Engana-me Que Eu Gosto,6.4,{AXN\,"AXN HD"},23-11-2019 21:55 25-11-2019 15:22
Estado de Sítio,6.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 15:35
Golpe de Vingança,6.4,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 00:22
Horas,6.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 02:40
Manon Lescaut,6.4,{EUROCHANNEL\,"EUROCHANNEL HD"},24-11-2019 00:25 24-11-2019 18:05 29-11-2019 07:55
Moulin Rouge,6.4,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 09:15
O Ditador,6.4,{"AXN WHITE"\,"AXN WHITE HD"},23-11-2019 19:06
O Fugitivo,6.4,{EUROCHANNEL\,"EUROCHANNEL HD"},28-11-2019 22:35 30-11-2019 16:10
O Último Beijo,6.4,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 06:58 28-11-2019 07:32 29-11-2019 09:01
Partner,6.4,{"ZEE CINEMA"},29-11-2019 14:00
Punisher - O Vingador,6.4,{"AXN BLACK"\,"AXN BLACK HD"},23-11-2019 19:12 25-11-2019 08:52 28-11-2019 02:02 30-11-2019 02:59
Riddick - A Ascensão,6.4,{"AXN BLACK"\,"AXN BLACK HD"},24-11-2019 12:13 27-11-2019 04:53 28-11-2019 16:13
Salt,6.4,{AXN\,"AXN HD"},24-11-2019 03:34
Space Cowboys,6.4,{"TVC 3"\,"TVC 3 HD"},29-11-2019 03:30 29-11-2019 13:45
Uma Boa Dose de Sexo,6.4,{"FOX LIFE"\,"FOX LIFE HD"},24-11-2019 22:30 28-11-2019 22:30
Uma Morte Necessária,6.4,{"FOX MOVIES"\,"FOX MOVIES HD"},26-11-2019 04:19
A Armadilha,6.3,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 18:00
A Casa da Magia,6.3,{"HOLLYWOOD "\,"HOLLYWOOD HD"},24-11-2019 09:15
À Mão Armada,6.3,{"TVC 1"},29-11-2019 03:25
Desafio Total,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 03:49
Dia e Noite,6.3,{AXN\,"AXN HD"},24-11-2019 14:38 30-11-2019 02:27
Ela é... Ele,6.3,{"FOX LIFE"\,"FOX LIFE HD"},24-11-2019 18:10 27-11-2019 23:13
... E o Sol Também Brilha,6.3,{"TVC 2"},27-11-2019 11:00
Fim-de-Semana em Paris,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 06:14 25-11-2019 09:41
Fogo Rápido,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},23-11-2019 19:39
Irmãos de Sangue,6.3,{EUROCHANNEL\,"EUROCHANNEL HD"},27-11-2019 15:45 29-11-2019 21:15 30-11-2019 13:05
O Livro de Imagem,6.3,{"TVC 2"},25-11-2019 23:45 26-11-2019 09:45
Os Estagiários,6.3,{"AXN WHITE"\,"AXN WHITE HD"},24-11-2019 01:17
Pago para Esquecer,6.3,{AMC\,"AMC HD"},24-11-2019 00:22 25-11-2019 20:10
Resident Evil 3: Extinção,6.3,{AXN\,"AXN HD"},27-11-2019 22:57 30-11-2019 06:07
Robôs,6.3,{"HOLLYWOOD "\,"HOLLYWOOD HD"},30-11-2019 08:40
Sedutora Tentação,6.3,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 07:38 26-11-2019 10:30 28-11-2019 06:07
Sobre Rodas,6.3,{"AXN WHITE"\,"AXN WHITE HD"},29-11-2019 22:10
Terapia a Dois,6.3,{"FOX LIFE"\,"FOX LIFE HD"},23-11-2019 20:25
Uma Criança Desapareceu,6.3,{"TVC 3"\,"TVC 3 HD"},24-11-2019 03:35 25-11-2019 20:35
Uns Compadres do Pior,6.3,{"AXN BLACK"\,"AXN BLACK HD"},25-11-2019 21:14 27-11-2019 13:10 30-11-2019 04:58
Vendeta,6.3,{"TVC 1"},28-11-2019 03:55
Vendeta,6.3,{"TVC 4"\,"TVC 4 HD"},29-11-2019 00:35
300: O Início de Um Império,6.2,{FOX\,"FOX HD"},24-11-2019 02:22 26-11-2019 00:36
360,6.2,{"RTP 3"},23-11-2019 21:00 24-11-2019 21:00 25-11-2019 21:00 26-11-2019 21:00 27-11-2019 20:30 28-11-2019 21:00 29-11-2019 21:00
Aguenta-te aos 40!,6.2,{"FOX MOVIES"\,"FOX MOVIES HD"},25-11-2019 17:23 26-11-2019 19:04 27-11-2019 14:21
Alta Golpada,6.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},26-11-2019 19:45 28-11-2019 06:50
A Testemunha,6.2,{AMC\,"AMC HD"},23-11-2019 18:21
Cidade Dividida,6.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},25-11-2019 11:20
Circuito Fechado,6.2,{EUROCHANNEL\,"EUROCHANNEL HD"},23-11-2019 21:15 28-11-2019 05:00
Doutor Sarilhos,6.2,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 21:10 28-11-2019 14:25
Feliz Dia Para Morrer 2,6.2,{"TVC 1"},24-11-2019 21:30 25-11-2019 12:25
Impacto Profundo,6.2,{AMC\,"AMC HD"},30-11-2019 00:01
Loucos em Alabama,6.2,{"AXN BLACK"\,"AXN BLACK HD"},30-11-2019 17:45
Manteiga,6.2,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 10:20
Miss Detective,6.2,{SIC},23-11-2019 17:45
O Santo,6.2,{"TVC 4"\,"TVC 4 HD"},24-11-2019 05:30
Perseguição Sem Tréguas,6.2,{"FOX MOVIES"\,"FOX MOVIES HD"},24-11-2019 01:58 26-11-2019 01:19
Porky's,6.2,{AMC\,"AMC HD"},24-11-2019 14:11 27-11-2019 17:22 29-11-2019 15:33
Porquê Ele?,6.2,{"FOX MOVIES"\,"FOX MOVIES HD"},27-11-2019 16:30
Sinais do Futuro,6.2,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 14:20 27-11-2019 10:50
Sombras da Escuridão,6.2,{"TVC 3"\,"TVC 3 HD"},29-11-2019 23:55 30-11-2019 12:00
Tal Pai\, Tal Mãe 2,6.2,{CINEMUNDO\,"CINEMUNDO HD"},26-11-2019 07:55
A Armadilha,6.1,{CINEMUNDO\,"CINEMUNDO HD"},24-11-2019 18:00
A Branca de Neve e o Caçador,6.1,{FOX\,"FOX HD"},23-11-2019 17:54 24-11-2019 12:09
A Experiência Belko,6.1,{"HOLLYWOOD "\,"HOLLYWOOD HD"},28-11-2019 00:55
Anon,6.1,{"TVC 4"\,"TVC 4 HD"},25-11-2019 02:25 25-11-2019 14:45
A Troca,6.1,{"TVC 3"\,"TVC 3 HD"},25-11-2019 13:30 26-11-2019 06:35
Códigos de Guerra,6.1,{"TVC 4"\,"TVC 4 HD"},23-11-2019 23:00 24-11-2019 12:15
